dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatial transcriptomics in the healthy human kidney: Puck_200115_01,0ae96eac-ff08-4870-9bc3-cd12418af7e4,cortex of kidney,UBERON:0001225,male,unknown,56-year-old human stage,European,CL:0000115,endothelial cell,11767
Spatial transcriptomics in the healthy human kidney: Puck_200115_01,0ae96eac-ff08-4870-9bc3-cd12418af7e4,cortex of kidney,UBERON:0001225,male,unknown,56-year-old human stage,European,CL:0000235,macrophage,757
Spatial transcriptomics in the healthy human kidney: Puck_200115_01,0ae96eac-ff08-4870-9bc3-cd12418af7e4,cortex of kidney,UBERON:0001225,male,unknown,56-year-old human stage,European,CL:0000648,kidney granular cell,50
Spatial transcriptomics in the healthy human kidney: Puck_200115_01,0ae96eac-ff08-4870-9bc3-cd12418af7e4,cortex of kidney,UBERON:0001225,male,unknown,56-year-old human stage,European,CL:0000650,mesangial cell,131
Spatial transcriptomics in the healthy human kidney: Puck_200115_01,0ae96eac-ff08-4870-9bc3-cd12418af7e4,cortex of kidney,UBERON:0001225,male,unknown,56-year-old human stage,European,CL:0000653,glomerular visceral epithelial cell,653
Spatial transcriptomics in the healthy human kidney: Puck_200115_01,0ae96eac-ff08-4870-9bc3-cd12418af7e4,cortex of kidney,UBERON:0001225,male,unknown,56-year-old human stage,European,CL:0000738,leukocyte,2556
Spatial transcriptomics in the healthy human kidney: Puck_200115_01,0ae96eac-ff08-4870-9bc3-cd12418af7e4,cortex of kidney,UBERON:0001225,male,unknown,56-year-old human stage,European,CL:0019018,blood vessel smooth muscle cell,335
Spatial transcriptomics in the healthy human kidney: Puck_200115_01,0ae96eac-ff08-4870-9bc3-cd12418af7e4,cortex of kidney,UBERON:0001225,male,unknown,56-year-old human stage,European,CL:1000692,kidney interstitial fibroblast,1510
Spatial transcriptomics in the healthy human kidney: Puck_200115_01,0ae96eac-ff08-4870-9bc3-cd12418af7e4,cortex of kidney,UBERON:0001225,male,unknown,56-year-old human stage,European,CL:1000838,kidney proximal convoluted tubule epithelial cell,9178
Spatial transcriptomics in the healthy human kidney: Puck_200115_01,0ae96eac-ff08-4870-9bc3-cd12418af7e4,cortex of kidney,UBERON:0001225,male,unknown,56-year-old human stage,European,CL:1000849,kidney distal convoluted tubule epithelial cell,886
Spatial transcriptomics in the healthy human kidney: Puck_200115_01,0ae96eac-ff08-4870-9bc3-cd12418af7e4,cortex of kidney,UBERON:0001225,male,unknown,56-year-old human stage,European,CL:1000850,macula densa epithelial cell,58
Spatial transcriptomics in the healthy human kidney: Puck_200115_01,0ae96eac-ff08-4870-9bc3-cd12418af7e4,cortex of kidney,UBERON:0001225,male,unknown,56-year-old human stage,European,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,362
Spatial transcriptomics in the healthy human kidney: Puck_200115_01,0ae96eac-ff08-4870-9bc3-cd12418af7e4,cortex of kidney,UBERON:0001225,male,unknown,56-year-old human stage,European,CL:1001431,kidney collecting duct principal cell,919
Spatial transcriptomics in the healthy human kidney: Puck_200115_01,0ae96eac-ff08-4870-9bc3-cd12418af7e4,cortex of kidney,UBERON:0001225,male,unknown,56-year-old human stage,European,CL:1001432,kidney collecting duct intercalated cell,607
