dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatial transcriptomics in the healthy human kidney: Puck_200115_07,0d049f5a-19b1-4055-a377-011a9570032c,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:0000115,endothelial cell,10664
Spatial transcriptomics in the healthy human kidney: Puck_200115_07,0d049f5a-19b1-4055-a377-011a9570032c,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:0000235,macrophage,270
Spatial transcriptomics in the healthy human kidney: Puck_200115_07,0d049f5a-19b1-4055-a377-011a9570032c,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:0000738,leukocyte,1083
Spatial transcriptomics in the healthy human kidney: Puck_200115_07,0d049f5a-19b1-4055-a377-011a9570032c,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:0019018,blood vessel smooth muscle cell,613
Spatial transcriptomics in the healthy human kidney: Puck_200115_07,0d049f5a-19b1-4055-a377-011a9570032c,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:1000692,kidney interstitial fibroblast,1628
Spatial transcriptomics in the healthy human kidney: Puck_200115_07,0d049f5a-19b1-4055-a377-011a9570032c,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:1000838,kidney proximal convoluted tubule epithelial cell,1540
Spatial transcriptomics in the healthy human kidney: Puck_200115_07,0d049f5a-19b1-4055-a377-011a9570032c,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:1000849,kidney distal convoluted tubule epithelial cell,1241
Spatial transcriptomics in the healthy human kidney: Puck_200115_07,0d049f5a-19b1-4055-a377-011a9570032c,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,3358
Spatial transcriptomics in the healthy human kidney: Puck_200115_07,0d049f5a-19b1-4055-a377-011a9570032c,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:1001431,kidney collecting duct principal cell,2264
Spatial transcriptomics in the healthy human kidney: Puck_200115_07,0d049f5a-19b1-4055-a377-011a9570032c,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:1001432,kidney collecting duct intercalated cell,1260
