dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatial transcriptomics in the healthy human kidney: Puck_200131_24,141b77bf-65b5-47d3-b860-d9ef25caa0e0,cortex of kidney,UBERON:0001225,female,unknown,64-year-old human stage,European,CL:0000115,endothelial cell,5325
Spatial transcriptomics in the healthy human kidney: Puck_200131_24,141b77bf-65b5-47d3-b860-d9ef25caa0e0,cortex of kidney,UBERON:0001225,female,unknown,64-year-old human stage,European,CL:0000235,macrophage,25
Spatial transcriptomics in the healthy human kidney: Puck_200131_24,141b77bf-65b5-47d3-b860-d9ef25caa0e0,cortex of kidney,UBERON:0001225,female,unknown,64-year-old human stage,European,CL:0000648,kidney granular cell,27
Spatial transcriptomics in the healthy human kidney: Puck_200131_24,141b77bf-65b5-47d3-b860-d9ef25caa0e0,cortex of kidney,UBERON:0001225,female,unknown,64-year-old human stage,European,CL:0000650,mesangial cell,6
Spatial transcriptomics in the healthy human kidney: Puck_200131_24,141b77bf-65b5-47d3-b860-d9ef25caa0e0,cortex of kidney,UBERON:0001225,female,unknown,64-year-old human stage,European,CL:0000653,glomerular visceral epithelial cell,138
Spatial transcriptomics in the healthy human kidney: Puck_200131_24,141b77bf-65b5-47d3-b860-d9ef25caa0e0,cortex of kidney,UBERON:0001225,female,unknown,64-year-old human stage,European,CL:0000738,leukocyte,931
Spatial transcriptomics in the healthy human kidney: Puck_200131_24,141b77bf-65b5-47d3-b860-d9ef25caa0e0,cortex of kidney,UBERON:0001225,female,unknown,64-year-old human stage,European,CL:0019018,blood vessel smooth muscle cell,397
Spatial transcriptomics in the healthy human kidney: Puck_200131_24,141b77bf-65b5-47d3-b860-d9ef25caa0e0,cortex of kidney,UBERON:0001225,female,unknown,64-year-old human stage,European,CL:1000692,kidney interstitial fibroblast,260
Spatial transcriptomics in the healthy human kidney: Puck_200131_24,141b77bf-65b5-47d3-b860-d9ef25caa0e0,cortex of kidney,UBERON:0001225,female,unknown,64-year-old human stage,European,CL:1000838,kidney proximal convoluted tubule epithelial cell,3026
Spatial transcriptomics in the healthy human kidney: Puck_200131_24,141b77bf-65b5-47d3-b860-d9ef25caa0e0,cortex of kidney,UBERON:0001225,female,unknown,64-year-old human stage,European,CL:1000849,kidney distal convoluted tubule epithelial cell,785
Spatial transcriptomics in the healthy human kidney: Puck_200131_24,141b77bf-65b5-47d3-b860-d9ef25caa0e0,cortex of kidney,UBERON:0001225,female,unknown,64-year-old human stage,European,CL:1000850,macula densa epithelial cell,48
Spatial transcriptomics in the healthy human kidney: Puck_200131_24,141b77bf-65b5-47d3-b860-d9ef25caa0e0,cortex of kidney,UBERON:0001225,female,unknown,64-year-old human stage,European,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,761
Spatial transcriptomics in the healthy human kidney: Puck_200131_24,141b77bf-65b5-47d3-b860-d9ef25caa0e0,cortex of kidney,UBERON:0001225,female,unknown,64-year-old human stage,European,CL:1001431,kidney collecting duct principal cell,519
Spatial transcriptomics in the healthy human kidney: Puck_200131_24,141b77bf-65b5-47d3-b860-d9ef25caa0e0,cortex of kidney,UBERON:0001225,female,unknown,64-year-old human stage,European,CL:1001432,kidney collecting duct intercalated cell,240
