dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,33-year-old human stage,Hispanic or Latin American,CL:0000057,fibroblast,6263
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,33-year-old human stage,Hispanic or Latin American,CL:0000084,T cell,1018
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,33-year-old human stage,Hispanic or Latin American,CL:0000097,mast cell,4
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,33-year-old human stage,Hispanic or Latin American,CL:0000115,endothelial cell,1872
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,33-year-old human stage,Hispanic or Latin American,CL:0000134,mesenchymal stem cell,11
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,33-year-old human stage,Hispanic or Latin American,CL:0000186,myofibroblast cell,486
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,33-year-old human stage,Hispanic or Latin American,CL:0000192,smooth muscle cell,5
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,33-year-old human stage,Hispanic or Latin American,CL:0000235,macrophage,2184
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,33-year-old human stage,Hispanic or Latin American,CL:0000236,B cell,23
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,33-year-old human stage,Hispanic or Latin American,CL:0000738,leukocyte,157
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,33-year-old human stage,Hispanic or Latin American,CL:0000775,neutrophil,1
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,33-year-old human stage,Hispanic or Latin American,CL:0000786,plasma cell,16
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,33-year-old human stage,Hispanic or Latin American,CL:0000814,mature NK T cell,553
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,59-year-old human stage,European,CL:0000057,fibroblast,2196
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,59-year-old human stage,European,CL:0000084,T cell,697
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,59-year-old human stage,European,CL:0000115,endothelial cell,1876
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,59-year-old human stage,European,CL:0000134,mesenchymal stem cell,1300
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,59-year-old human stage,European,CL:0000186,myofibroblast cell,496
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,59-year-old human stage,European,CL:0000192,smooth muscle cell,11
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,59-year-old human stage,European,CL:0000235,macrophage,623
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,59-year-old human stage,European,CL:0000738,leukocyte,3
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,59-year-old human stage,European,CL:0000775,neutrophil,439
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,59-year-old human stage,European,CL:0000786,plasma cell,10
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,adipose tissue,UBERON:0001013,male,unknown,59-year-old human stage,European,CL:0000814,mature NK T cell,19
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:0000057,fibroblast,3262
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:0000084,T cell,1221
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:0000097,mast cell,649
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:0000186,myofibroblast cell,1005
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:0000192,smooth muscle cell,81
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:0000235,macrophage,2093
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:0000236,B cell,11
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:0000669,pericyte cell,511
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:0000784,plasmacytoid dendritic cell,18
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:0000786,plasma cell,673
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:0000814,mature NK T cell,14
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:0002138,endothelial cell of lymphatic vessel,67
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:0002144,capillary endothelial cell,56
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:0002543,vein endothelial cell,158
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,59-year-old human stage,European,CL:1001428,bladder urothelial cell,1917
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,61-year-old human stage,African American or Afro-Caribbean,CL:0000057,fibroblast,1665
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,61-year-old human stage,African American or Afro-Caribbean,CL:0000084,T cell,1405
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,61-year-old human stage,African American or Afro-Caribbean,CL:0000097,mast cell,342
Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc,bladder organ,UBERON:0018707,female,unknown,61-year-old human stage,African American or Afro-Caribbean,CL:0000186,myofibroblast cell,984
