dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000542,lymphocyte,15
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000623,natural killer cell,246
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000798,gamma-delta T cell,149
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000815,regulatory T cell,40
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",320
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",92
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000904,"central memory CD4-positive, alpha-beta T cell",226
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",477
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000938,"CD16-negative, CD56-bright natural killer cell, human",21
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000940,mucosal invariant T cell,36
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0001043,"activated CD4-positive, alpha-beta T cell, human",5
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0002489,double negative thymocyte,10
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000542,lymphocyte,4
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000623,natural killer cell,426
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000798,gamma-delta T cell,7
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000815,regulatory T cell,14
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",63
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",12
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000904,"central memory CD4-positive, alpha-beta T cell",65
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",251
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000938,"CD16-negative, CD56-bright natural killer cell, human",18
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000940,mucosal invariant T cell,1
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0002489,double negative thymocyte,2
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,54-year-old human stage,unknown,CL:0000542,lymphocyte,20
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,54-year-old human stage,unknown,CL:0000623,natural killer cell,919
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,54-year-old human stage,unknown,CL:0000798,gamma-delta T cell,224
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,54-year-old human stage,unknown,CL:0000815,regulatory T cell,17
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,54-year-old human stage,unknown,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",227
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,54-year-old human stage,unknown,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",10
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,54-year-old human stage,unknown,CL:0000904,"central memory CD4-positive, alpha-beta T cell",592
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,54-year-old human stage,unknown,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",223
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,54-year-old human stage,unknown,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",92
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,54-year-old human stage,unknown,CL:0000938,"CD16-negative, CD56-bright natural killer cell, human",38
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,54-year-old human stage,unknown,CL:0000940,mucosal invariant T cell,13
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,63-year-old human stage,unknown,CL:0000542,lymphocyte,10
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,63-year-old human stage,unknown,CL:0000623,natural killer cell,593
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,63-year-old human stage,unknown,CL:0000798,gamma-delta T cell,281
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,63-year-old human stage,unknown,CL:0000815,regulatory T cell,12
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,63-year-old human stage,unknown,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",84
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,63-year-old human stage,unknown,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",10
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,63-year-old human stage,unknown,CL:0000904,"central memory CD4-positive, alpha-beta T cell",264
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,63-year-old human stage,unknown,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",1214
T Cell and NK Cell Subtypes of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,bc2a7b3d-f04e-477e-96c9-9d5367d5425c,blood,UBERON:0000178,female,unknown,63-year-old human stage,unknown,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",211
