dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:0000003,native cell,109
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:0000115,endothelial cell,3779
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:0000650,mesangial cell,346
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:0000653,glomerular visceral epithelial cell,162
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:0000669,pericyte cell,942
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:0000731,urothelial cell,1
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:0000738,leukocyte,812
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:0019018,blood vessel smooth muscle cell,208
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:1000452,parietal epithelial cell,551
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:1000692,kidney interstitial fibroblast,291
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:1000768,kidney connecting tubule epithelial cell,3195
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:1000838,kidney proximal convoluted tubule epithelial cell,763
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:1000849,kidney distal convoluted tubule epithelial cell,303
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:1000909,kidney loop of Henle epithelial cell,319
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,543
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:1001111,kidney loop of Henle thin descending limb epithelial cell,61
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:1001431,kidney collecting duct principal cell,882
Spatial transcriptomics in the healthy human kidney: Puck_200205_19,c97f9167-f7f7-40d4-babf-a47663290c09,renal medulla,UBERON:0000362,male,unknown,75-year-old human stage,European,CL:1001432,kidney collecting duct intercalated cell,919
