dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatial transcriptomics in the healthy human kidney: Puck_200115_06,deb385b8-8030-42a4-af1f-aa28932c7344,cortex of kidney,UBERON:0001225,male,unknown,50-year-old human stage,European,CL:0000115,endothelial cell,10741
Spatial transcriptomics in the healthy human kidney: Puck_200115_06,deb385b8-8030-42a4-af1f-aa28932c7344,cortex of kidney,UBERON:0001225,male,unknown,50-year-old human stage,European,CL:0000235,macrophage,66
Spatial transcriptomics in the healthy human kidney: Puck_200115_06,deb385b8-8030-42a4-af1f-aa28932c7344,cortex of kidney,UBERON:0001225,male,unknown,50-year-old human stage,European,CL:0000648,kidney granular cell,72
Spatial transcriptomics in the healthy human kidney: Puck_200115_06,deb385b8-8030-42a4-af1f-aa28932c7344,cortex of kidney,UBERON:0001225,male,unknown,50-year-old human stage,European,CL:0000650,mesangial cell,19
Spatial transcriptomics in the healthy human kidney: Puck_200115_06,deb385b8-8030-42a4-af1f-aa28932c7344,cortex of kidney,UBERON:0001225,male,unknown,50-year-old human stage,European,CL:0000653,glomerular visceral epithelial cell,441
Spatial transcriptomics in the healthy human kidney: Puck_200115_06,deb385b8-8030-42a4-af1f-aa28932c7344,cortex of kidney,UBERON:0001225,male,unknown,50-year-old human stage,European,CL:0000738,leukocyte,1211
Spatial transcriptomics in the healthy human kidney: Puck_200115_06,deb385b8-8030-42a4-af1f-aa28932c7344,cortex of kidney,UBERON:0001225,male,unknown,50-year-old human stage,European,CL:0019018,blood vessel smooth muscle cell,941
Spatial transcriptomics in the healthy human kidney: Puck_200115_06,deb385b8-8030-42a4-af1f-aa28932c7344,cortex of kidney,UBERON:0001225,male,unknown,50-year-old human stage,European,CL:1000692,kidney interstitial fibroblast,387
Spatial transcriptomics in the healthy human kidney: Puck_200115_06,deb385b8-8030-42a4-af1f-aa28932c7344,cortex of kidney,UBERON:0001225,male,unknown,50-year-old human stage,European,CL:1000838,kidney proximal convoluted tubule epithelial cell,6043
Spatial transcriptomics in the healthy human kidney: Puck_200115_06,deb385b8-8030-42a4-af1f-aa28932c7344,cortex of kidney,UBERON:0001225,male,unknown,50-year-old human stage,European,CL:1000849,kidney distal convoluted tubule epithelial cell,1005
Spatial transcriptomics in the healthy human kidney: Puck_200115_06,deb385b8-8030-42a4-af1f-aa28932c7344,cortex of kidney,UBERON:0001225,male,unknown,50-year-old human stage,European,CL:1000850,macula densa epithelial cell,88
Spatial transcriptomics in the healthy human kidney: Puck_200115_06,deb385b8-8030-42a4-af1f-aa28932c7344,cortex of kidney,UBERON:0001225,male,unknown,50-year-old human stage,European,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,1231
Spatial transcriptomics in the healthy human kidney: Puck_200115_06,deb385b8-8030-42a4-af1f-aa28932c7344,cortex of kidney,UBERON:0001225,male,unknown,50-year-old human stage,European,CL:1001431,kidney collecting duct principal cell,890
Spatial transcriptomics in the healthy human kidney: Puck_200115_06,deb385b8-8030-42a4-af1f-aa28932c7344,cortex of kidney,UBERON:0001225,male,unknown,50-year-old human stage,European,CL:1001432,kidney collecting duct intercalated cell,375
